Name,Cluster
Aa Gale Lag Jaa,1
Aa Gaya Hero,1
Aa Jao Please,1
Aabra Ka Daabra,1
Aabroo,1
Aadamkhor,1
Aadat Se Majboor,1
Aadha Din Aadhee Raat,1
Aadhaar,1
Aadharshila,1
Aadhi Bhagavan,1
Aadhi Raat,1
Aadmi,1
Aadmi,1
Aadmi Aur Apsara,1
Aadmi Aur Insaan,1
Aadmi Khilona Hai,1
Aadmi Ki Aurat Aur Anya Kahaniya,1
Aadmi Sadak Ka,1
Aadupuliyattam,1
Aafat,1
Aag,1
Aag,1
Aag Aur Chingari,1
Aag Hi Aag,1
Aag Ka Gola,1
Aag Ka Toofaan,1
Aag Ke Sholay,1
Aag Se Khelenge,1
Aage Maut Peeche Maut,1
Aagey Se Right,1
Aaghaaz,1
Aah,1
Aahuti,1
Aaina,1
Aaina,1
Aaj,1
Aaj Aur Kal,1
Aaj Ka Andha Kanoon,1
Aaj Ka Arjun,1
Aaj Ka Daur,1
Aaj Ka Goonda Raaj,1
Aaj Ka Mahaatma,1
Aaj Ka Ravan,1
Aaj Ka Samson,1
Aaj Kaa M.L.A. Ram Avtar,1
Aaj Ke Angaarey,1
Aaj Ke Shahenshah,1
Aaj Ki Awaz,1
Aaja Meri Jaan,1
Aaja Nachle,1
Aaja Sanam,1
Aakhree Raasta,1
Aakhri Adaalat,1
Aakhri Baazi,1
Aakhri Badla,1
Aakhri Ghulam,1
Aakhri Kasam,1
Aakhri Khat,1
Aakhri Sangam,1
Aakhri Sanghursh,1
Aakraman,1
Aakrosh,1
Aakrosh,1
Aalaap,1
Aalavandhan,1
Aalwar,1
Aamaar Bhuvan,1
Aamdani Atthanni Kharcha Rupaiya,1
Aamir,1
Aamne - Saamne,1
Aamne Samne,1
Aan Aur Shaan,1
Aan Milo Sajna,1
Aan: Men at Work,1
Aanch,1
Aanchal,1
Aandhi,1
Aandhi-Toofan,1
Aandhiyan,1
Aandhiyan,1
Aani Maani,1
Aankhen,1
Aankhen,1
Aankhon Aankhon Mein,1
Aansoo Aur Muskan,1
Aao Pyaar Karen,1
Aao Wish Karein,1
Aap Aye Bahaar Ayee,1
Aap Beati,1
Aap Ki Kasam,1
Aap Ki Khatir,1
Aap Ki Khatir,1
Aap Ki Parchhaiyan,2
Aap Mujhe Achche Lagne Lage,1
Aap To Aise Na The,1
Aapas Ki Baat,1
Aapko Pehle Bhi Kahin Dekha Hai,1
Aar Paar,1
Aar Ya Paar,1
Aarakshan,1
Aarop,1
Aar-Paar,1
Aarti,1
Aarya,1
Aarzoo,1
Aasha,1
Aasha,1
Aashayein,1
Aashiq,1
Aashiq,1
Aashiq Banaya Aapne: Love Takes Over,1
Aashiq Hoon Baharon Ka,1
Aashiqui,1
Aashiqui 2,1
Aashiqui.In,1
Aashirwad,1
Aashmani Jawaharat,1
Aasma,1
Aasma: The Sky Is the Limit,1
Aasmaan,1
Aasmaan Mahal,1
Aasmaan Se Gira,1
Aasoo Bane Angaarey,1
Aasra,1
Aastha: In the Prison of Spring,1
Aatank,1
Aatank Hi Aatank,1
Aathi,1
Aatish,1
Aatish: Feel the Fire,1
Aatma,1
Aatma,1
Aavida Maa Aavide,1
Aavishkar,1
Aawaz,1
Aaya Toofan,1
Aaya Toofan,1
Aaye Din Bahar Ke,1
Aazaan,1
Aazmayish,1
Ab Ayega Mazaa,3
Ab Dilli Dur Nahin,1
Ab Hoga Dharna Unlimited,3
Ab Insaf Hoga,1
Ab Tak Chhappan,1
Ab Tak Chhappan 2,1
Ab To Aaja Saajan Mere,1
Ab Tumhare Hawale Watan Saathiyo,1
Ab... Bas!,1
ABCD (Any Body Can Dance),1
Abdullah,1
Abe Hayat,1
Abhay,1
Abhi To Jee Lein,1
Abhilasha,1
Abhimaan,1
Abhimanyu,1
Abhimanyu,1
Abhinetri,1
Abodh,1
Accident on Hill Road,1
Achanak,1
Achanak,1
Achhut Kanya,1
Acid Factory,1
Action,1
Action Jackson,1
Action Replayy,1
Ada... A Way of Life,1
Adalat,1
Adalat,1
Adhi Raat Ke Baad,1
Adhikar,1
Adhipathi,1
Adhura Sapna,1
Adhurs,1
Adi Shankaracharya,1
Adil-E-Jahangir,1
Adisaya Piravi,1
Adrishya,1
Adutha Varisu,1
Adventure Kids Hindi Film,1
Adventures of Aladdin,1
Adventures of Ali-Baba and the Forty Thieves,1
Adventures of Tarzan,1
Ae Dil Hai Mushkil,1
Aetbaar,1
Aflatoon,1
Africadalli Sheela,1
Afsana,1
Afsana,1
Afsana Dilwalon Ka,1
Afsana Pyar Ka,1
Afsar,1
After the Third Bell,1
Agar Tum Na Hote,1
Agathiyar,1
Agent Vinod,1
Agent Vinod,1
Aghaat,1
Agnee,1
Agnee Morcha,1
Agneekaal,1
Agneepath,1
Agneepath,1
Agni IPS,1
Agni Pareeksha,1
Agni Sakshi,1
Agnichakra,1
Agniputra,1
Agnivarsha: The Fire and the Rain,1
Agreement,1
Agyaat,1
Ahaan,0
Ahankaar,1
Ahinsa,1
Ahista Ahista,1
Ahista Ahista,1
Ahsaas,1
Airlift,1
Aisa Yeh Jahaan,1
Aisha,1
Aisi Bhi Kya Jaldi Hai,1
Aisi Deewangi,1
Aitbaar,1
Aitraaz,1
Aiyaary,1
Aiyyaa,1
Ajab Gazabb Love,1
Ajab Prem Ki Ghazab Kahani,1
Ajab Singh Ki Gajab Kahani,1
Ajanabee,1
Ajay,1
Ajeeb Daastaans,1
Ajji,1
Ajnabee,1
Ajooba,1
AK 47,1
AK vs AK,1
Akaash Vani,1
Akashdeep,1
Akayla,1
Akbar Saleem Anarkali,1
Akela the Alone,1
Akele Hum Akele Tum,1
Akeli,1
Akhiyon Se Goli Maare,1
Akhri Muqabla,1
Aks,1
Aksar,1
Aksar 2,1
Alaap,1
Aladdin and the Wonderful Lamp,1
Aladin,1
Alag Alag,1
Alag: He Is Different.... He Is Alone...,1
Alajh Palajh,3
Alam Ara,1
Alavuddinum Athbutha Vilakkum,1
Albela,1
Albela,1
Albert Pinto Ko Gussa Kyon Ata Hai,1
Albert Pinto Ko Gussa Kyun Aata Hai?,1
Alex's Strip,1
Ali Baba and 40 Thieves,1
Alibaba and 40 Thieves,1
Alibaba Marjinaa,1
Alif,1
Alif-Laila,1
Aligarh,1
All Is Well,1
All Ladies Do It,1
All Rounder,1
All the Best: Fun Begins,1
Allah Ke Banday,1
Allah Meharban To Gadha Pehalwan,3
Allah-Rakha,1
Alone,1
Always Kabhi Kabhi,1
Amaanat,1
Aman,1
Aman Ke Farishtey,1
Amanush,1
Amar,1
Amar Deep,1
Amar Jyoti,1
Amar Prem,1
Amar Prem,1
Amar Rahe Ye Pyar,1
Amar Shakti,1
"Amar, Akbar and Anthony",1
Amavas,1
Amba,1
Amber,1
Amdavad Junction,1
American Desi,1
Amir Garib,1
Amiri Garibi,1
Amit Sahni Ki List,1
Amma,1
Amma Nagamma,1
Ammaa Ki Boli,0
Amrapali,1
Amrit,1
Amu,1
An Evening in Paris,1
An Insignificant Man,1
Anaarkali of Aarah,1
Anamika,1
Anand,1
Anand Math,1
Ananda Ashram,1
Anari,1
Anari,1
Anari,1
Anari No. 1,3
Anarkali,1
Anatomy of Violence,1
Andaaz,1
Andaz,1
Andaz,1
Andaz,1
Andaz Apna Apna,1
Andha Bichar,1
Andha Oru Nimidam,1
Andhaa Kaanoon,1
Andhadhun,1
Andhera,1
Andheri Raat Mein Diya Tere Haath Mein,0
Andhi Gali,1
Andolan,1
Angaar,1
Angaara,1
Angaaray,1
Angel,1
Angoor,3
Angoor,1
Angrakshak,1
Angrezi Medium,0
Angry Indian Goddesses,0
Angulimaal,1
Anhonee,1
Anhonee,1
Anita,1
Anjaam,1
Anjaam,1
Anjaana,1
Anjaana Anjaani,1
Anjaane: The Unkown,1
Anjan Hai Koyee,1
Anjaneya,1
Anjaneyulu,1
Ankahee,1
Ankahee,1
Ankhen,1
Ankhon Dekhi,0
Ankhon Mein Tum Ho,1
Ankur Arora Murder Case,1
Ankur: The Seedling,1
Ankush,1
Anmol,2
Anmol Ghadi,1
Anmol Sitaare,1
Anmol Tasveer,1
Anna,1
Annai Velankanni,1
Annamalai,1
Anokha,1
Anokha Aspatal,3
Anokha Bandhan,1
Anokha Milan,1
Anokha Moti,1
Anokhe Amar Shaheed Baba Deep Singh Ji,1
Anokhi Ada,1
Anokhi Ada,1
Anokhi Raat,1
Anpadh,1
Ansh: The Deadly Part,1
Ansoo Ban Gaye Phool,1
Antardwand,1
Antarnaad,1
Antenna,1
Anth,1
Anthony Kaun Hai?,1
Anubhav,1
Anubhav: An Experience,1
Anupama,1
Anuraag,1
Anuradha,1
Anuranan,1
Anurodh,1
Anwar,1
Any Body Can Dance 2,1
Apaatkaal,1
Apaharan,1
Apartment: Rent at Your Own Risk,1
Apna Asmaan,1
Apna Haath Jagannath,3
Apna Sapna Money Money,1
Apnapan,1
Apne,1
Apne Dam Par,1
Apne Dushman,1
Apne Paraye,1
Apne Rang Hazaar,1
Apradh,1
Apradhi,1
Apradhi Kaun?,1
April Fool,1
Aradhana,1
Aranyaka,1
Ardh Satya,1
Arjun,1
Arjun Devaa,1
Arjun Pandit,1
Arjun Patiala,1
Arjun: The Warrior Prince,1
Armaan,1
Armaan,2
Army,1
Arohan,1
Around the World,1
Arpan,1
Arth,1
Article 15,1
Arvind Desai Ki Ajeeb Dastaan,1
Aryan,1
Aryan: Unbreakable,1
Arzoo,1
Arzoo,1
Asambhav,1
Asana Travelogue,1
Ascharyachakit!,1
Asha Jyoti,2
Ashaant,1
Ashiana,1
Ashley,1
Ashok Chakra: Tribute to Real Heroes,1
Ashok Vatika,1
Ashoka the Great,1
Asli Naqli,1
Asli-Naqli,1
Astitva,1
Astounding Courage in Distress,1
Ata Pata Lapatta,1
Atal Faisla,1
Ateet,1
Athbhutha Dweepu,1
Athidhi,1
Atishbaz,1
Atithee,1
Atithi Kab Aoge Shhamshan,3
Atithi Tum Kab Jaoge?,3
Atkan Chatkan,1
Attahaasa,1
Aulad,0
Aulad Ke Dushman,1
Aunty No. 1,1
Aur Kaun?,1
Aur Pappu Pass Ho Gaya,3
Aurangzeb,1
Aurat,1
Aurat,0
Aurat Teri Yehi Kahani,1
Auto Driver,1
Autohead,1
Autumn,1
Auzaar,1
Avalude Ravukal,1
Avam,1
Avinash,1
Avsar,1
Avtaar,1
Awaara,1
Awaargi,1
Awaaz,1
Awara Badal,1
Awara Paagal Deewana,1
Awarapan,1
Awasaan,1
Awesome Mausam,1
Axone,0
Aya Sawan Jhoom Ke,1
Ayaash,1
Ayee Milan Ki Bela,1
Ayee Milan Ki Raat,1
Ayudha Pooja,1
Ayurveda: Art of Being,1
Azaad,1
Azaad,1
Azaad Desh Ke Gulam,1
Azad,1
Azhar,1
B for Bundelkhand,1
B.A. Pass,1
B.A. Pass 2,1
B.A. Pass 3,1
Baa Baaa Black Sheep,1
Baabarr,1
Baabul,2
Baadshah,1
Baadshaho,1
Baaghi,1
Baaghi,1
Baaghi 2,1
Baaghi 3,1
Baaghi: A Rebel for Love,1
Baaja,1
Baaki Itihaas,1
Baal Ki Khaal,3
Baankey Ki Crazy Baraat,3
Baap Numbri Beta Dus Numbri,1
Baap Re Baap,1
Baar Baar Dekho,1
Baaraat Company,1
Baarish,1
Baarish Aur Chowmein,1
Baarood (The Fire) - A Love Story,1
Baat Ban Jaye,3
Baat Bann Gayi,1
Baat Ek Raat Ki,1
Baaz,1
Baaz: A Bird in Danger,1
Baazaar,1
Baazi,1
Baazi,1
Baazi,1
Baazi,1
Baazigar,1
Baazigar,1
Babloo Happy Hai,1
Babu,1
Babul,1
Babul,1
Babula,1
Babumoshai Bandookbaaz,1
Baby,1
Bach ke Zara,1
Bachke Rehna Re Baba,1
Bachna Ae Haseeno,1
Bachpan,1
Back to Dad,1
Bad Aur Badnaam,1
Bad Boys,1
Bad Luck Govind,1
Bada Kabutar,1
Badal,1
Badal,1
Badal,1
Badaltey Rishtey,1
Bade Dil Wala,1
Bade Dilwala,1
Bade Ghar Ki Beti,1
Bade Miyan Chote Miyan,1
Badhaai Ho,0
Badhaai Ho Badhaai,1
Badhu Nirupama,1
Badi Bahen,1
Badi Didi,1
Badi Maa,1
Badkaar,1
Badla,1
Badla,1
Badla Aur Balidan,1
Badlapur,1
Badlapur Boys,1
Badle Ki Aag,1
Badmaa$h Company,1
Badmaash,1
Badman,0
Badmashiyaan,1
Badnaam Gali,3
Badnam Basti,1
Badrinath Ki Dulhania,1
Baga Beach,1
Bagh Bahadur,1
Baghavat,1
Baghban,1
Baghban,1
Bagpat Ka Dulha,1
Bahaar Aane Tak,1
Bahar,1
Baharen Phir Bhi Aayengi,1
Baharon Ke Sapne,1
Baharon Ki Manzil,1
Bahattar Hoorain,3
Bahen,1
Bahu Begum,1
Bahu Beti,1
Bahu Ki Awaaz,1
Bahurani,1
Bahut Din Huwe...,1
Bahut Hua Sammaan,1
Baiju Bawra,1
Baikunth,1
Bajatey Raho,1
Bajirao Mastani,1
Bajrangbali,1
Bajrangi Bhaijaan,1
Bal Bramhachari,1
Bal Ganesh 3,1
Bal Ganesh and the PomZom Planet,1
Bala,3
Balidaan,1
Balidaan,1
Balika Badhu,1
Ballad of Rustom,1
Ballavpur Ki Roopkatha,3
Balram Shri Krishna,1
Balwaan,1
Balwinder Singh Famous Ho Gaya,3
Bambai Raat Ki Bahon Mein,1
Bamfaad,1
Banaras,1
Banaras,1
Banarasi Babu,3
Banarasi Babu,1
Banarasi Thug,1
Band Baaja Baaraat,1
Bandh Darwaza,1
Bandhan,1
Bandhan,1
Bandhan Kuchchey Dhaagon Ka,1
Bandhe Haath,1
Bandhu,1
Bandi,1
Bandini,1
Bandish,1
Bandish,1
Bandit Queen,1
Bandook,1
Bang Bang,1
Bangistan,0
Banjaran,1
Banjo,1
Bank Chor,1
Bansuri: The Flute,1
Banwra,1
Bara-Dari,1
Barah Aana,1
Barbed Wired,1
Bardaasht,1
Barefoot to Goa,1
Barfi!,1
Barkha,1
Barkhaa,1
Barood,1
Barood,1
Barot House,1
Barsaat,1
Barsaat,1
Barsaat Ki Ek Raat,1
Barsaat Ki Raat,1
Barsaat Ki Raat,1
Bas Ek Pal,1
Bas Itna Sa Khwaab Hai...,1
Basant,1
Basant,1
Basant Bahar,1
Baseraa,1
Batla House,1
Baton Baton Mein,1
Battalion 609,1
Batti Gul Meter Chalu,1
Batwara,1
Bawandar,1
Bawarchi,1
Bawre Nain,1
Bazaar,1
Bazaar,1
Bazaar E Husn,1
Be-Careful,1
Bechain,1
Bedardi,1
Beehad - The Ravine,1
Bees Saal Baad,1
Bees Saal Baad,1
Befikre,1
Begum Jaan,1
Behen Hogi Teri,3
Behind the Mirror,1
Beiimaan Love,1
Be-Imaan,1
Bekaraar,1
Bekhudi,1
Bemisal,1
Benaam,1
Benaam,1
Benazir,1
Bengal Tiger,1
Benny and Babloo,0
Bepanaah,1
Be-Reham,1
Be-Shaque,1
Besharam,1
Besharam,1
Beta,1
Betaab,1
Betaabi,1
Betaaj Badshah,1
Beti,1
Beti Bete,1
Bewafa,1
Bewafa Sanam,1
Bewafaa,1
Bewafai,1
Bewaffa Se Waffa,1
Bewajah,1
Bewakoofiyaan,1
Bewaqoof,1
Beyond Blue: An Unnerving Tale of a Demented Mind,1
Beyond Bollywood,1
Beyond the Clouds,1
Bezubaan,1
Bezubaan Ishq,1
Bhaag Johnny,1
Bhaag Milkha Bhaag,1
Bhaagte Raho,3
Bhabhi,1
Bhabhi,1
Bhabhi Ki Chudiyan,1
Bhabhipedia,1
Bhadaas,1
Bhagam Bhag,1
Bhagam Bhag,1
Bhagawat Ek Jung,1
Bhageeratha,1
Bhagmati,1
Bhagwaan Dada,1
Bhagwan Parshuram,1
Bhagwan Shri Krishna,1
Bhagyawan,1
Bhai,1
Bhai Bahen,1
Bhai Bhai,1
Bhai Ho To Aisa,1
Bhai Thakur,1
Bhai-Bahen,1
Bhai-Bhai,1
Bhairav,1
Bhairava Dweepam,1
Bhairavi,1
Bhakta Siriyala,1
Bhakti Mein Shakti,1
Bhala Manus,1
Bhalevadivi Basu,1
Bhamashah,1
Bhangarh: The Last Episode,1
Bhangover,3
Bhangra Paa Le,1
Bhanwar,1
Bhanwarey,3
Bharat,1
Bharat Bhagya Vidhata,1
Bharat Milap,1
Bhasmasur,1
Bhavani Junction,1
Bhavesh Joshi Superhero,1
Bhavnao Ko Samjho,1
Bhavni Bhavai,0
Bhayaanak,1
Bhayaanak Mahal,1
Bhayaanak Panjaa,1
Bheegi Palkein,1
Bheegi Raat,1
Bheja Fry,0
Bheja Fry 2,0
Bhikharan,1
Bhindi Baazaar,1
BHK Bhalla@Halla.Kom,3
Bhobhar - The Live Ash,2
Bhonsle,1
Bhooka Sher,1
Bhooka Sher,1
Bhookailas,1
Bhool Bhulaiyaa,1
Bhoomi,1
Bhoot,1
Bhoot and Friends,1
Bhoot Bungla,1
Bhoot Ka Darr,1
Bhoot Returns,1
Bhoot: Part One - The Haunted Ship,1
Bhoothnath Returns,1
Bhootnath,1
Bhootnath,1
Bhopal Express,1
Bhopal: A Prayer for Rain,1
Bhopali,1
Bhor: Dawn,1
Bhouri,1
Bhrashtachar,1
Bhuddah Hoga Tera Baap,1
Bhumika,1
Bhuvan Shome,0
Bichhoo,1
Bidaai,1
Bidyapati,1
Big Brother,1
Bijuka,1
Billa No. 786,1
Billa Ranga,1
Billoo Baadshah,1
Billu,0
Billu Ustaad,1
Bin Badal Barsaat,1
Bin Bulaye Baraati,1
Bin Maa Ke Bachche,1
Bin Phere Free Me Tere,3
Bindiya Chamkegi,1
Bindiya Mange Bandook,1
Bioscopewala,1
Biradari,1
Biraj Bahu,1
Bitch,1
Bitter Chestnut,1
Bittoo Boss,1
Biwi Aur Makan,3
Biwi Ho To Aisi,0
Biwi No. 1,1
Biwi-O-Biwi,1
Black,1
Black & White,1
Black Cat,1
Black Friday,1
Black Home,1
Black Mountain,1
Black Rose,1
Blackboard vs Whiteboard,1
Blackmail,1
Blackmail,1
Blackmail,1
Blank,1
Blood Money,1
Blue,1
Blue Mountains,1
Blue Oranges,1
"Blue Skies, Green Waters, Red Earth",1
Bluff Master,1
Bluffmaster,1
Bobby,1
Bobby Jasoos,1
Bobby: Love and Lust,1
Bodyguard,1
Boichek,1
Bol Bachchan,1
Bol Radha Bol,1
Bole India Jai Bhim,1
Bollywood Diaries,1
Bollywood Villa,1
Bollywood: The Greatest Love Story Ever Told,1
Bolo Raam,1
Bomb Blast,1
Bombai Ka Babu,1
Bombairiya,1
Bombay 405 Miles,1
Bombay Boys,1
Bombay Rose,1
Bombay Talkies,1
Bombay to Bangkok,1
Bombay to Goa,1
Bombay Velvet,1
Bond of Love,1
Boom,1
Boond,1
Boot Polish,1
Border,1
Border Kashmir,1
Boss,1
Boxed,1
Boxer,1
Boy Friend,1
Boys Who Like Girls,1
Brahmachari,1
Break Ke Baad,1
Breakaway,1
Breaking Free,1
Bride & Prejudice,1
"Brother, Superhit!",1
Brothers,1
Bub (Father),1
Bubble Gum,1
Buchcha,1
Buddha in a Traffic Jam,1
Buddha Mar Gaya,3
Buddha Mil Gaya,1
Budhia Singh: Born to Run,1
Budtameez,1
Bulandi,1
Bulbbul,1
Bulbul Can Sing,1
Bulbule,3
Bullet,1
Bullet: Ek Dhamaka,1
Bullett Raja,1
Bumboo,3
Bumm Bumm Bole,1
Bumper Draw,3
Bunker,1
Bunty Aur Babli,1
Bye Bye Miss Goodnight,0
Bypass Road,1
C Kkompany,1
C U at 9,1
C.I.D.,1
C.I.D. 909,1
Cabaret,1
Calapor,1
Calcutta Mail,1
Calendar Girls,1
Call,1
Call for Fun,3
Cape Karma,1
Captain Nagarjuna,1
Captain Prabhakaran,1
Captain Vidyut,1
Car Thief,1
Caravan,1
Care of Footpath,1
Cargo,1
Cash,1
CC2C,1
Cecilia,1
Celluloid Man,1
Censor,1
Chaahat,1
Chaahat Ek Nasha...,1
Chaalbaaz,1
Chaalbaaz,1
Chaalis Chauraasi,1
Chaand Kaa Tukdaa,1
Chaani,1
Chaar Din Ki Chandni,1
Chaar Maharathi,1
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,1
Chaarfutiya Chhokare,1
Chacha Bhatija,1
Chachi 420,1
Chai Coffee,1
Chai Pani Etc.,3
Chain Kulii Ki Main Kulii,1
Chak De! India,1
Chakkar Pe Chakkar,1
Chakra,1
Chakradhaar,1
Chakravyuh,1
Chakravyuha,1
Chal Bhaag,3
Chal Chala Chal,1
Chal Guru Ho Jaa Shuru,3
Chal Mere Bhai,1
Chal Pichchur Banate Hain,0
Chala Murari Hero Banne,1
Chala Mussaddi - Office Office,0
Chale Chalo: The Lunacy of Film Making,1
Chalk N Duster,1
Challo Driver,3
Chalo Dilli,0
Chalo Ishq Ladaaye,1
Chalta Purza,1
Chalte Chalte,1
Chalte Chalte,1
Chalti Ka Naam Gaadi,1
Chaman Bahaar,0
Chamatkar,1
Chameli,1
Chameli Ki Shaadi,1
Chamku,1
Champion,1
Chanakya,1
Chance Pe Dance,1
Chand,1
Chand Aur Suraj,1
Chand Bujh Gaya,1
Chand Ke Paar Chalo,1
Chand Par Chadayee,1
Chand Sa Roshan Chehra,1
Chanda Aur Bijli,1
Chandaal Atma,1
Chandan Ka Palna,1
Chandni,1
Chandni Bar,1
Chandra,1
Chandra Mukhi,1
Chandrahas,1
Chandrasena,1
Chandrawal,1
Chandu,1
Changez Khan,1
Chann Pardesee,1
Char Diwari,1
Char Paise,1
Charandas Chor,1
Charas,1
Charas: A Joint Effort,1
Charitraheen,1
Charlie Kay Chakkar Mein,1
Chase,1
Chashme Baddoor,0
Chashme Buddoor,1
Chatpati,3
Chatur Singh Two Star,1
Chauhar,1
Chauraha,1
Chauranga,1
Chausar,1
Cheeni Kum,1
Chef,1
Chehere: A Modern Day Classic,1
Chehraa,1
Chehre Pe Chehra,1
Cheluvi,1
Chemmeen,1
Chennai Express,1
Chetna,1
Chetna: The Excitement,1
Chettaniki Kallu Levu,1
Chhailla Babu,1
Chhalaang,0
Chhalia,1
Chhapaak,1
Chhappad Phaad Ke,1
Chhatrapati Shivaji,1
Chhaya,1
Chhichhore,0
Chhodon Naa Yaar,1
Chhota Bheem and the Curse of Damyaan,1
Chhota Bheem and the Throne of Bali,1
Chhota Bheem Himalayan Adventure,1
Chhota Bheem in the Incan Adventure,1
Chhota Bheem Kung Fu Dhamaka,1
Chhota Chetan,1
Chhota Sa Ghar,1
Chhote Nawab,1
Chhote Sarkar,1
Chhoti Bahen,1
Chhoti Bahu,1
Chhoti Si Baat,1
Chhoti Si Mulaqat,1
Chhupa Rustam: A Musical Thriller,1
Chhupam Chhaai,1
Chicken Curry Law,1
Chicken Tikka Masala,1
Chidi Balla,1
Chidiya,1
Children of War,1
Children's Party,1
China Gate,1
China Town,1
Chinar Daastaan-E-Ishq,1
Chingaari,1
Chinnodu,1
Chintu Ji,0
Chintu Ka Birthday,1
Chipku,1
Chippa,1
Chitchor,1
Chitkabrey,1
Chittagong,1
Chocolate: Deep Dark Secrets,1
Choked,1
Choo Lenge Akash,1
Chopsticks,0
Chor Aur Chand,1
Chor Bazaari,3
Chor Bazar,1
Chor Chor Super Chor,1
Chor Machaaye Shor,1
Chor Machaye Shor,1
Chor Pe Mor,1
Chor Sipahee,1
Chori Chori,1
Chori Chori,1
Chori Chori,1
Chori Chori Chupke Chupke,1
Chori Mera Kaam,1
Chorni,0
Choron Ki Baaraat,1
Chorus,1
Chota Jadugar,1
Chote Nawab,1
Chousar Firangi,0
Chowkidar,1
Chudail,1
Chudail Story,1
Chup Chup Ke,1
Chupke Chupke,1
Chupke Se,1
Chura Liyaa Hai Tumne,1
Cinderella,1
City Lights,1
City of Gold - Mumbai 1982: Ek Ankahee Kahani,1
Class of '83,1
Clerk,1
Click,1
Club 60,1
Club Dancer,1
Cocktail,1
Coffee Bloom,1
Colours of Passion,1
Come December,1
Comedy Couple,1
Commando,1
Commando,1
Commando 2,1
Commando 3,1
Company,1
Compulsed,1
Congregation,1
Consequence Karma,1
Contract,1
Cookie,1
Cooking with Stella,0
Coolie,1
Coolie No. 1,1
Coolie No. 1,1
Coolie No. 1,1
Corporate,1
Courage,1
Court,1
Court Martial,1
Cover Story,1
Crazy Mad Lover,1
Crd,1
Creature,1
Criminal,1
Crook: It's Good to Be Bad,1
Cryptic Road,1
Current,1
Cycle Kick,1
Cypher,1
D,1
D Company,1
Daadagiri,1
Daadi Maa,1
Daaera,1
Daag,1
Daag: A Poem of Love,1
Daag: The Fire,1
Daal Me Kala,0
Daal Mein Kuch Kaala Hai,3
Daas,1
Daas Dev,1
Daava,1
Daawat-e-Biryani,1
Daawat-e-Ishq,1
Daayen Ya Baayen,1
Dabangg,1
Dabangg 2,1
Dabangg 3,1
Dacait,1
Dada,1
Dada,1
Dadar Kirti,0
Daddy,1
Daddy Cool: Join the Fun,0
Daddy's Daughter,1
Dafaa 302: Indian Penal Code Section 302 (Section of Murder),1
Dagadi Chaawl,1
Dahan,1
Dahej,1
Dahek: A Burning Passion,1
Dahleez,1
Daku Aur Mahatma,1
Daku Ganga Jamuna,1
Daku Kali Bhawani,1
Daku Ramkali,1
Dalaal,1
Dam999,1
Damaad,3
Damadamm!,1
Damini,1
Damul,1
Dance Dance,1
Dance of the Wind,1
Dance Party,1
Dancer,1
Dand Nayak,1
Dangal,1
Dangerous Ishq,1
Dank,1
Dansh,1
Dansh,1
Daraar,1
Darbaan,1
Darbar,1
Dard Ka Rishta,1
Darinda,1
Dariya Dil,1
Darklight,1
Darkness Visible,1
Darling,1
Darmiyaan: In Between,1
Darna Mana Hai,1
Darna Zaroori Hai,1
